layers,from,to,weight
l4ORP_l5PO,Provide older childcare,Schools,1
l4ORP_l5PO,Provide optical healthcare services,Hospitals (general),1
l4ORP_l5PO,Provide optical healthcare services,Hospitals (with A&E),1
l4ORP_l5PO,Provide optical healthcare services,Opticians and ophthalmologists,1
l4ORP_l5PO,Provide other discretionary services,Airports (major),1
l4ORP_l5PO,Provide other discretionary services,Airports (minor),1
l4ORP_l5PO,Provide other discretionary services,Animal care,1
l4ORP_l5PO,Provide other discretionary services,Apparel services,1
l4ORP_l5PO,Provide other discretionary services,Attractions,1
l4ORP_l5PO,Provide other discretionary services,Bars and nightclubs,1
l4ORP_l5PO,Provide other discretionary services,Beauty services,1
l4ORP_l5PO,Provide other discretionary services,Bus stations,1
l4ORP_l5PO,Provide other discretionary services,Cafes,1
l4ORP_l5PO,Provide other discretionary services,Casinos and gaming,1
l4ORP_l5PO,Provide other discretionary services,Cinemas,1
l4ORP_l5PO,Provide other discretionary services,Community centres,1
l4ORP_l5PO,Provide other discretionary services,Computer and electronics shops,1
l4ORP_l5PO,Provide other discretionary services,Conference and exhibition centres (animal racing),1
l4ORP_l5PO,Provide other discretionary services,Coworking office spaces,1
l4ORP_l5PO,Provide other discretionary services,Creative spaces,1
l4ORP_l5PO,Provide other discretionary services,Dining and catering services,1
l4ORP_l5PO,Provide other discretionary services,Eateries,1
l4ORP_l5PO,Provide other discretionary services,Furnishing services,1
l4ORP_l5PO,Provide other discretionary services,Healthcare (alternative),1
l4ORP_l5PO,Provide other discretionary services,Higher education,1
l4ORP_l5PO,Provide other discretionary services,Hospitals (general),1
l4ORP_l5PO,Provide other discretionary services,Hospitals (with A&E),1
l4ORP_l5PO,Provide other discretionary services,Hotels,1
l4ORP_l5PO,Provide other discretionary services,Internet cafes,1
l4ORP_l5PO,Provide other discretionary services,Libraries and archives,1
l4ORP_l5PO,Provide other discretionary services,Locksmiths and cobblers,1
l4ORP_l5PO,Provide other discretionary services,Observatories,1
l4ORP_l5PO,Provide other discretionary services,Other discretionary services,1
l4ORP_l5PO,Provide other discretionary services,Post offices,1
l4ORP_l5PO,Provide other discretionary services,Removal services,1
l4ORP_l5PO,Provide other discretionary services,Shopping centres,1
l4ORP_l5PO,Provide other discretionary services,Sports clubhouses,1
l4ORP_l5PO,Provide other discretionary services,Sports facilities (indoor),1
l4ORP_l5PO,Provide other discretionary services,"Sports facilities (outdoor, impermeable, with club)",1
l4ORP_l5PO,Provide other discretionary services,"Sports facilities (outdoor, permeable, with club)",1
l4ORP_l5PO,Provide other discretionary services,Subway stations,1
l4ORP_l5PO,Provide other discretionary services,Supermarkets,1
l4ORP_l5PO,Provide other discretionary services,Takeaways and fast food,1
l4ORP_l5PO,Provide other discretionary services,Train stations (major),1
l4ORP_l5PO,Provide other discretionary services,Travel agencies,1
l4ORP_l5PO,Provide other discretionary services,Wholesale retail,1
l4ORP_l5PO,Provide physiotherapy services,Healthcare (physiotherapy),1
l4ORP_l5PO,Provide physiotherapy services,Healthcare outpatient services,1
l4ORP_l5PO,Provide physiotherapy services,Hospitals (general),1
l4ORP_l5PO,Provide physiotherapy services,Hospitals (with A&E),1
l4ORP_l5PO,Provide physiotherapy services,Medical practices,1
l4ORP_l5PO,Provide physiotherapy services,Sports clubhouses,1
l4ORP_l5PO,Provide physiotherapy services,Sports facilities (indoor),1
l4ORP_l5PO,Provide physiotherapy services,"Sports facilities (outdoor, impermeable, with club)",1
l4ORP_l5PO,Provide physiotherapy services,"Sports facilities (outdoor, permeable, with club)",1
l4ORP_l5PO,Provide place of worship,Airports (major),1
l4ORP_l5PO,Provide place of worship,Assisted living,1
l4ORP_l5PO,Provide place of worship,Cemeteries,1
l4ORP_l5PO,Provide place of worship,Community centres,1
l4ORP_l5PO,Provide place of worship,Day centres,1
l4ORP_l5PO,Provide place of worship,Higher education,1
l4ORP_l5PO,Provide place of worship,Hospitals (general),1
l4ORP_l5PO,Provide place of worship,Hospitals (with A&E),1
l4ORP_l5PO,Provide place of worship,Prison and jails,1
l4ORP_l5PO,Provide place of worship,Religious buildings,1
l4ORP_l5PO,Provide place of worship,Schools,1
l4ORP_l5PO,Provide place of worship,Train stations (major),1
l4ORP_l5PO,Provide public communications service,Broadcasting,1
l4ORP_l5PO,Provide public communications service,Environmental regulators,1
l4ORP_l5PO,Provide public communications service,National government buildings,1
l4ORP_l5PO,Provide public communications service,Parliamentary buildings,1
l4ORP_l5PO,Provide public communications service,Public information boards,1
l4ORP_l5PO,Provide public communications service,Publishing offices,1
l4ORP_l5PO,Provide qualification services,Accountancy firms,1
l4ORP_l5PO,Provide qualification services,Agriculture and aquaculture,1
l4ORP_l5PO,Provide qualification services,Air bases,1
l4ORP_l5PO,Provide qualification services,Ambulance stations,1
l4ORP_l5PO,Provide qualification services,Aquariums,1
l4ORP_l5PO,Provide qualification services,Armed forces barracks,1
l4ORP_l5PO,Provide qualification services,Beauty services,1
l4ORP_l5PO,Provide qualification services,Botanical gardens,1
l4ORP_l5PO,Provide qualification services,Dental and orthodontal practices,1
l4ORP_l5PO,Provide qualification services,Driving schools,1
l4ORP_l5PO,Provide qualification services,Environmental regulators,1
l4ORP_l5PO,Provide qualification services,Exterior building trades,1
l4ORP_l5PO,Provide qualification services,Fire stations,1
l4ORP_l5PO,Provide qualification services,Healthcare (alternative),1
l4ORP_l5PO,Provide qualification services,Healthcare (physiotherapy),1
l4ORP_l5PO,Provide qualification services,Healthcare (specialist),1
l4ORP_l5PO,Provide qualification services,Healthcare outpatient services,1
l4ORP_l5PO,Provide qualification services,Higher education,1
l4ORP_l5PO,Provide qualification services,Hospitals (general),1
l4ORP_l5PO,Provide qualification services,Hospitals (with A&E),1
l4ORP_l5PO,Provide qualification services,Hotels,1
l4ORP_l5PO,Provide qualification services,Interior building trades,1
l4ORP_l5PO,Provide qualification services,Learned societies,1
l4ORP_l5PO,Provide qualification services,Legal services,1
l4ORP_l5PO,Provide qualification services,Libraries and archives,1
l4ORP_l5PO,Provide qualification services,Lifeboat stations,1
l4ORP_l5PO,Provide qualification services,Locksmiths and cobblers,1
l4ORP_l5PO,Provide qualification services,Medical laboratories,1
l4ORP_l5PO,Provide qualification services,Medical practices,1
l4ORP_l5PO,Provide qualification services,Mental health services,1
l4ORP_l5PO,Provide qualification services,Museums and art galleries,1
l4ORP_l5PO,Provide qualification services,Nurseries,1
l4ORP_l5PO,Provide qualification services,Opticians and ophthalmologists,1
l4ORP_l5PO,Provide qualification services,Pharmacies,1
l4ORP_l5PO,Provide qualification services,Police stations,1
l4ORP_l5PO,Provide qualification services,Prison and jails,1
l4ORP_l5PO,Provide qualification services,Religious buildings,1
l4ORP_l5PO,Provide qualification services,Research and consulting services,1
l4ORP_l5PO,Provide qualification services,Schools,1
l4ORP_l5PO,Provide qualification services,Sports facilities (indoor),1
l4ORP_l5PO,Provide qualification services,Training centres,1
l4ORP_l5PO,Provide qualification services,Transport providers and control centres,1
l4ORP_l5PO,Provide qualification services,Utility trades,1
l4ORP_l5PO,Provide qualification services,Vehicle depots,1
l4ORP_l5PO,Provide qualification services,Vehicle maintenance services,1
l4ORP_l5PO,Provide qualification services,Veterinary practices,1
l4ORP_l5PO,Provide qualification services,Zoos,1
l4ORP_l5PO,Provide recreational learning,Agriculture and aquaculture,1
l4ORP_l5PO,Provide recreational learning,Airports (minor),1
l4ORP_l5PO,Provide recreational learning,Aquariums,1
l4ORP_l5PO,Provide recreational learning,Assisted living,1
l4ORP_l5PO,Provide recreational learning,Botanical gardens,1
l4ORP_l5PO,Provide recreational learning,Charity organisations,1
l4ORP_l5PO,Provide recreational learning,Children's clubs,1
l4ORP_l5PO,Provide recreational learning,Community centres,1
l4ORP_l5PO,Provide recreational learning,Creative spaces,1
l4ORP_l5PO,Provide recreational learning,Day centres,1
l4ORP_l5PO,Provide recreational learning,Higher education,1
l4ORP_l5PO,Provide recreational learning,Learned societies,1
l4ORP_l5PO,Provide recreational learning,Libraries and archives,1
l4ORP_l5PO,Provide recreational learning,"Marinas, boatyards, and ferry terminals",1
l4ORP_l5PO,Provide recreational learning,Museums and art galleries,1
l4ORP_l5PO,Provide recreational learning,Music and theatre venues,1
l4ORP_l5PO,Provide recreational learning,Nurseries,1
l4ORP_l5PO,Provide recreational learning,Observatories,1
l4ORP_l5PO,Provide recreational learning,Prison and jails,1
l4ORP_l5PO,Provide recreational learning,Public art,1
l4ORP_l5PO,Provide recreational learning,Religious buildings,1
l4ORP_l5PO,Provide recreational learning,Schools,1
l4ORP_l5PO,Provide recreational learning,Sports facilities (indoor),1
l4ORP_l5PO,Provide recreational learning,"Sports facilities (outdoor, impermeable, with club)",1
l4ORP_l5PO,Provide recreational learning,"Sports facilities (outdoor, permeable, with club)",1
l4ORP_l5PO,Provide recreational learning,Stables,1
l4ORP_l5PO,Provide recreational learning,Training centres,1
l4ORP_l5PO,Provide recreational learning,Zoos,1
l4ORP_l5PO,Provide rehabilitation services,Assisted living,1
l4ORP_l5PO,Provide rehabilitation services,Charity organisations,1
l4ORP_l5PO,Provide rehabilitation services,Healthcare outpatient services,1
l4ORP_l5PO,Provide rehabilitation services,Hospitals (general),1
l4ORP_l5PO,Provide rehabilitation services,Hospitals (with A&E),1
l4ORP_l5PO,Provide rehabilitation services,Medical practices,1
l4ORP_l5PO,Provide rehabilitation services,Mental health services,1
l4ORP_l5PO,Provide rehabilitation services,Prison and jails,1
l4ORP_l5PO,Provide removal and storage services,Airports (major),1
l4ORP_l5PO,Provide removal and storage services,Removal services,1
l4ORP_l5PO,Provide removal and storage services,Self-storage,1
l4ORP_l5PO,Provide removal and storage services,Taxis,1
l4ORP_l5PO,Provide retributive justice and criminal deterrence,Courthouses,1
l4ORP_l5PO,Provide retributive justice and criminal deterrence,National government buildings,1
l4ORP_l5PO,Provide retributive justice and criminal deterrence,Parliamentary buildings,1
l4ORP_l5PO,Provide retributive justice and criminal deterrence,Police stations,1
l4ORP_l5PO,Provide retributive justice and criminal deterrence,Prison and jails,1
l4ORP_l5PO,Provide sexual healthcare services,Charity organisations,1
l4ORP_l5PO,Provide sexual healthcare services,Hospitals (general),1
l4ORP_l5PO,Provide sexual healthcare services,Hospitals (with A&E),1
l4ORP_l5PO,Provide sexual healthcare services,Medical practices,1
l4ORP_l5PO,Provide sexual healthcare services,Sexual health clinics,1
l4ORP_l5PO,Provide social support,Assisted living,1
l4ORP_l5PO,Provide social support,Charity organisations,1
l4ORP_l5PO,Provide social support,Charity shops,1
l4ORP_l5PO,Provide social support,Children's clubs,1
l4ORP_l5PO,Provide social support,Citizens Advice Bureaus,1
l4ORP_l5PO,Provide social support,Community centres,1
l4ORP_l5PO,Provide social support,Council offices,1
l4ORP_l5PO,Provide social support,Courthouses,1
l4ORP_l5PO,Provide social support,Day centres,1
l4ORP_l5PO,Provide social support,Diplomatic buildings,1
l4ORP_l5PO,Provide social support,Food banks,1
l4ORP_l5PO,Provide social support,Healthcare outpatient services,1
l4ORP_l5PO,Provide social support,Higher education,1
l4ORP_l5PO,Provide social support,Homeless shelters,1
l4ORP_l5PO,Provide social support,Hospitals (general),1
l4ORP_l5PO,Provide social support,Hospitals (with A&E),1
l4ORP_l5PO,Provide social support,Legal services,1
l4ORP_l5PO,Provide social support,Libraries and archives,1
l4ORP_l5PO,Provide social support,Medical practices,1
l4ORP_l5PO,Provide social support,Mental health services,1
l4ORP_l5PO,Provide social support,National government buildings,1
l4ORP_l5PO,Provide social support,Other communal resources,1
l4ORP_l5PO,Provide social support,Parliamentary buildings,1
l4ORP_l5PO,Provide social support,Police stations,1
l4ORP_l5PO,Provide social support,Prison and jails,1
l4ORP_l5PO,Provide social support,Religious buildings,1
l4ORP_l5PO,Provide social support,Schools,1
l4ORP_l5PO,Provide social support,Sexual health clinics,1
l4ORP_l5PO,Provide social support,Social work offices,1
l4ORP_l5PO,Provide social support,Union offices,1
l4ORP_l5PO,Provide staple goods,Agriculture and aquaculture,1
l4ORP_l5PO,Provide staple goods,Airports (major),1
l4ORP_l5PO,Provide staple goods,Animal care,1
l4ORP_l5PO,Provide staple goods,Attractions,1
l4ORP_l5PO,Provide staple goods,Beauty services,1
l4ORP_l5PO,Provide staple goods,Bus stations,1
l4ORP_l5PO,Provide staple goods,Casinos and gaming,1
l4ORP_l5PO,Provide staple goods,Conference and exhibition centres (animal racing),1
l4ORP_l5PO,Provide staple goods,Conference and exhibition centres (general),1
l4ORP_l5PO,Provide staple goods,Food banks,1
l4ORP_l5PO,Provide staple goods,Higher education,1
l4ORP_l5PO,Provide staple goods,Hospitals (general),1
l4ORP_l5PO,Provide staple goods,Hospitals (with A&E),1
l4ORP_l5PO,Provide staple goods,Manufacturing (consumer staples),1
l4ORP_l5PO,Provide staple goods,"Marinas, boatyards, and ferry terminals",1
l4ORP_l5PO,Provide staple goods,Multi-line retail,1
l4ORP_l5PO,Provide staple goods,Observatories,1
l4ORP_l5PO,Provide staple goods,Off-licenses,1
l4ORP_l5PO,Provide staple goods,Other communal resources,1
l4ORP_l5PO,Provide staple goods,Other staple goods retail,1
l4ORP_l5PO,Provide staple goods,Pharmacies,1
l4ORP_l5PO,Provide staple goods,Schools,1
l4ORP_l5PO,Provide staple goods,Shopping centres,1
l4ORP_l5PO,Provide staple goods,Smaller food markets,1
l4ORP_l5PO,Provide staple goods,Subway stations,1
l4ORP_l5PO,Provide staple goods,Supermarkets,1
l4ORP_l5PO,Provide staple goods,Train stations (major),1
l4ORP_l5PO,Provide staple goods,Train stations (minor),1
l4ORP_l5PO,Provide staple goods,Veterinary practices,1
l4ORP_l5PO,Provide street care and cleaning,Council offices,1
l4ORP_l5PO,Provide street care and cleaning,Vehicle impounds,1
l4ORP_l5PO,Provide street care and cleaning,Waste collection service offices,1
l4ORP_l5PO,Provide street lighting,Council offices,1
l4ORP_l5PO,Provide street lighting,Street lights,1
l4ORP_l5PO,Provide supported learning,Community centres,1
l4ORP_l5PO,Provide supported learning,Day centres,1
l4ORP_l5PO,Provide supported learning,Higher education,1
l4ORP_l5PO,Provide supported learning,Libraries and archives,1
l4ORP_l5PO,Provide supported learning,Prison and jails,1
l4ORP_l5PO,Provide supported learning,Schools,1
l4ORP_l5PO,Provide supported learning,Training centres,1
l4ORP_l5PO,Provide temporary shelter,Accountancy firms,1
l4ORP_l5PO,Provide temporary shelter,Advertising,1
l4ORP_l5PO,Provide temporary shelter,Agriculture and aquaculture,1
l4ORP_l5PO,Provide temporary shelter,Air bases,1
l4ORP_l5PO,Provide temporary shelter,Airports (major),1
l4ORP_l5PO,Provide temporary shelter,Airports (minor),1
l4ORP_l5PO,Provide temporary shelter,Ambulance stations,1
l4ORP_l5PO,Provide temporary shelter,Animal care,1
l4ORP_l5PO,Provide temporary shelter,Animal shelters,1
l4ORP_l5PO,Provide temporary shelter,Apparel retail,1
l4ORP_l5PO,Provide temporary shelter,Apparel services,1
l4ORP_l5PO,Provide temporary shelter,Aquariums,1
l4ORP_l5PO,Provide temporary shelter,Armed forces barracks,1
l4ORP_l5PO,Provide temporary shelter,Armed forces headquarters,1
l4ORP_l5PO,Provide temporary shelter,Assisted living,1
l4ORP_l5PO,Provide temporary shelter,Attractions,1
l4ORP_l5PO,Provide temporary shelter,Auction houses,1
l4ORP_l5PO,Provide temporary shelter,Automotive retail,1
l4ORP_l5PO,Provide temporary shelter,Bank headquarters,1
l4ORP_l5PO,Provide temporary shelter,Banks,1
l4ORP_l5PO,Provide temporary shelter,Bars and nightclubs,1
l4ORP_l5PO,Provide temporary shelter,Beauty services,1
l4ORP_l5PO,Provide temporary shelter,Blood banks,1
l4ORP_l5PO,Provide temporary shelter,Botanical gardens,1
l4ORP_l5PO,Provide temporary shelter,Broadband provider offices,1
l4ORP_l5PO,Provide temporary shelter,Broadcasting,1
l4ORP_l5PO,Provide temporary shelter,Bus stations,1
l4ORP_l5PO,Provide temporary shelter,Business services,1
l4ORP_l5PO,Provide temporary shelter,Cafes,1
l4ORP_l5PO,Provide temporary shelter,Career and employment support services,1
l4ORP_l5PO,Provide temporary shelter,Casinos and gaming,1
l4ORP_l5PO,Provide temporary shelter,Castles and fortifications,1
l4ORP_l5PO,Provide temporary shelter,Charity organisations,1
l4ORP_l5PO,Provide temporary shelter,Charity shops,1
l4ORP_l5PO,Provide temporary shelter,Children's clubs,1
l4ORP_l5PO,Provide temporary shelter,Cinemas,1
l4ORP_l5PO,Provide temporary shelter,Citizens Advice Bureaus,1
l4ORP_l5PO,Provide temporary shelter,Community centres,1
l4ORP_l5PO,Provide temporary shelter,Computer and electronics shops,1
l4ORP_l5PO,Provide temporary shelter,Conference and exhibition centres (animal racing),1
l4ORP_l5PO,Provide temporary shelter,Conference and exhibition centres (general),1
l4ORP_l5PO,Provide temporary shelter,Construction and engineering,1
l4ORP_l5PO,Provide temporary shelter,Consumer finance,1
l4ORP_l5PO,Provide temporary shelter,Council offices,1
l4ORP_l5PO,Provide temporary shelter,Couriers,1
l4ORP_l5PO,Provide temporary shelter,Courthouses,1
l4ORP_l5PO,Provide temporary shelter,Coworking office spaces,1
l4ORP_l5PO,Provide temporary shelter,Creative spaces,1
l4ORP_l5PO,Provide temporary shelter,Day centres,1
l4ORP_l5PO,Provide temporary shelter,Death-care services,1
l4ORP_l5PO,Provide temporary shelter,Dental and orthodontal practices,1
l4ORP_l5PO,Provide temporary shelter,Dining and catering services,1
l4ORP_l5PO,Provide temporary shelter,Diplomatic buildings,1
l4ORP_l5PO,Provide temporary shelter,Distribution centres,1
l4ORP_l5PO,Provide temporary shelter,Driving schools,1
l4ORP_l5PO,Provide temporary shelter,Eateries,1
l4ORP_l5PO,Provide temporary shelter,Electricity provider offices,1
l4ORP_l5PO,Provide temporary shelter,Environmental consulting and quantity surveying firms,1
l4ORP_l5PO,Provide temporary shelter,Events management,1
l4ORP_l5PO,Provide temporary shelter,Exterior building trades,1
l4ORP_l5PO,Provide temporary shelter,Financial advisors,1
l4ORP_l5PO,Provide temporary shelter,Fire stations,1
l4ORP_l5PO,Provide temporary shelter,Food banks,1
l4ORP_l5PO,Provide temporary shelter,Furnishing retail,1
l4ORP_l5PO,Provide temporary shelter,Furnishing services,1
l4ORP_l5PO,Provide temporary shelter,Gas provider offices,1
l4ORP_l5PO,Provide temporary shelter,Healthcare (alternative),1
l4ORP_l5PO,Provide temporary shelter,Healthcare (physiotherapy),1
l4ORP_l5PO,Provide temporary shelter,Healthcare (specialist),1
l4ORP_l5PO,Provide temporary shelter,Healthcare outpatient services,1
l4ORP_l5PO,Provide temporary shelter,Higher education,1
l4ORP_l5PO,Provide temporary shelter,Home and outdoor maintenance retail,1
l4ORP_l5PO,Provide temporary shelter,Home and outdoor maintenance services,1
l4ORP_l5PO,Provide temporary shelter,Homeless shelters,1
l4ORP_l5PO,Provide temporary shelter,Hospitals (general),1
l4ORP_l5PO,Provide temporary shelter,Hospitals (with A&E),1
l4ORP_l5PO,Provide temporary shelter,Hotels,1
l4ORP_l5PO,Provide temporary shelter,Insurance provider offices,1
l4ORP_l5PO,Provide temporary shelter,Integrated waste facilities,1
l4ORP_l5PO,Provide temporary shelter,Interior building trades,1
l4ORP_l5PO,Provide temporary shelter,Internet cafes,1
l4ORP_l5PO,Provide temporary shelter,IT software and services,1
l4ORP_l5PO,Provide temporary shelter,Landfills and endpoint waste sites,1
l4ORP_l5PO,Provide temporary shelter,Learned societies,1
l4ORP_l5PO,Provide temporary shelter,Legal services,1
l4ORP_l5PO,Provide temporary shelter,Libraries and archives,1
l4ORP_l5PO,Provide temporary shelter,Lifeboat stations,1
l4ORP_l5PO,Provide temporary shelter,Locksmiths and cobblers,1
l4ORP_l5PO,Provide temporary shelter,Manufacturing (consumer discretionary),1
l4ORP_l5PO,Provide temporary shelter,Manufacturing (consumer staples),1
l4ORP_l5PO,Provide temporary shelter,Manufacturing (energy),1
l4ORP_l5PO,Provide temporary shelter,Manufacturing (healthcare),1
l4ORP_l5PO,Provide temporary shelter,Manufacturing (industrials),1
l4ORP_l5PO,Provide temporary shelter,Manufacturing (IT hardware),1
l4ORP_l5PO,Provide temporary shelter,Manufacturing (materials),1
l4ORP_l5PO,Provide temporary shelter,Medical laboratories,1
l4ORP_l5PO,Provide temporary shelter,Medical practices,1
l4ORP_l5PO,Provide temporary shelter,Mental health services,1
l4ORP_l5PO,Provide temporary shelter,Multi-line retail,1
l4ORP_l5PO,Provide temporary shelter,Museums and art galleries,1
l4ORP_l5PO,Provide temporary shelter,Music and theatre venues,1
l4ORP_l5PO,Provide temporary shelter,National government buildings,1
l4ORP_l5PO,Provide temporary shelter,Nurseries,1
l4ORP_l5PO,Provide temporary shelter,Observatories,1
l4ORP_l5PO,Provide temporary shelter,Offices (other),1
l4ORP_l5PO,Provide temporary shelter,Off-licenses,1
l4ORP_l5PO,Provide temporary shelter,Opticians and ophthalmologists,1
l4ORP_l5PO,Provide temporary shelter,Other discretionary goods retail,1
l4ORP_l5PO,Provide temporary shelter,Other discretionary services,1
l4ORP_l5PO,Provide temporary shelter,Other staple goods retail,1
l4ORP_l5PO,Provide temporary shelter,Parliamentary buildings,1
l4ORP_l5PO,Provide temporary shelter,Pharmacies,1
l4ORP_l5PO,Provide temporary shelter,Playgrounds (indoor),1
l4ORP_l5PO,Provide temporary shelter,Police stations,1
l4ORP_l5PO,Provide temporary shelter,Political offices,1
l4ORP_l5PO,Provide temporary shelter,Post offices,1
l4ORP_l5PO,Provide temporary shelter,Power stations,1
l4ORP_l5PO,Provide temporary shelter,Prison and jails,1
l4ORP_l5PO,Provide temporary shelter,Publishing offices,1
l4ORP_l5PO,Provide temporary shelter,Real estate management offices,1
l4ORP_l5PO,Provide temporary shelter,Registrar offices,1
l4ORP_l5PO,Provide temporary shelter,Religious buildings,1
l4ORP_l5PO,Provide temporary shelter,Removal services,1
l4ORP_l5PO,Provide temporary shelter,Research and consulting services,1
l4ORP_l5PO,Provide temporary shelter,Residential properties,1
l4ORP_l5PO,Provide temporary shelter,Retail headquarters,1
l4ORP_l5PO,Provide temporary shelter,Schools,1
l4ORP_l5PO,Provide temporary shelter,Security services,1
l4ORP_l5PO,Provide temporary shelter,Shopping centres,1
l4ORP_l5PO,Provide temporary shelter,Smaller food markets,1
l4ORP_l5PO,Provide temporary shelter,Social work offices,1
l4ORP_l5PO,Provide temporary shelter,Sports and outdoor retail,1
l4ORP_l5PO,Provide temporary shelter,Sports clubhouses,1
l4ORP_l5PO,Provide temporary shelter,Sports facilities (indoor),1
l4ORP_l5PO,Provide temporary shelter,"Sports facilities (outdoor, impermeable, with club)",1
l4ORP_l5PO,Provide temporary shelter,"Sports facilities (outdoor, permeable, with club)",1
l4ORP_l5PO,Provide temporary shelter,Stables,1
l4ORP_l5PO,Provide temporary shelter,Subway stations,1
l4ORP_l5PO,Provide temporary shelter,Supermarkets,1
l4ORP_l5PO,Provide temporary shelter,Takeaways and fast food,1
l4ORP_l5PO,Provide temporary shelter,Tourism offices,1
l4ORP_l5PO,Provide temporary shelter,Train stations (major),1
l4ORP_l5PO,Provide temporary shelter,Train stations (minor),1
l4ORP_l5PO,Provide temporary shelter,Training centres,1
l4ORP_l5PO,Provide temporary shelter,Tram stops,1
l4ORP_l5PO,Provide temporary shelter,Transport providers and control centres,1
l4ORP_l5PO,Provide temporary shelter,Travel agencies,1
l4ORP_l5PO,Provide temporary shelter,Traveller sites,1
l4ORP_l5PO,Provide temporary shelter,Union offices,1
l4ORP_l5PO,Provide temporary shelter,Utility trades,1
l4ORP_l5PO,Provide temporary shelter,Vehicle depots,1
l4ORP_l5PO,Provide temporary shelter,Vehicle impounds,1
l4ORP_l5PO,Provide temporary shelter,Vehicle maintenance services,1
l4ORP_l5PO,Provide temporary shelter,Vehicle rental services,1
l4ORP_l5PO,Provide temporary shelter,Veterinary practices,1
l4ORP_l5PO,Provide temporary shelter,Waste collection service offices,1
l4ORP_l5PO,Provide temporary shelter,Waste sorting centres,1
l4ORP_l5PO,Provide temporary shelter,Wastewater pumping stations,1
l4ORP_l5PO,Provide temporary shelter,Wastewater treatment works,1
l4ORP_l5PO,Provide temporary shelter,Water provider offices,1
l4ORP_l5PO,Provide temporary shelter,Water treatment works,1
l4ORP_l5PO,Provide temporary shelter,Wholesale retail,1
l4ORP_l5PO,Provide working environment,Accountancy firms,1
l4ORP_l5PO,Provide working environment,Advertising,1
l4ORP_l5PO,Provide working environment,Agriculture and aquaculture,1
l4ORP_l5PO,Provide working environment,Air bases,1
l4ORP_l5PO,Provide working environment,Airplanes and helicopters,1
l4ORP_l5PO,Provide working environment,Airports (major),1
l4ORP_l5PO,Provide working environment,Airports (minor),1
l4ORP_l5PO,Provide working environment,Ambulance stations,1
l4ORP_l5PO,Provide working environment,Animal care,1
l4ORP_l5PO,Provide working environment,Animal shelters,1
l4ORP_l5PO,Provide working environment,Apparel retail,1
l4ORP_l5PO,Provide working environment,Apparel services,1
l4ORP_l5PO,Provide working environment,Aquariums,1
l4ORP_l5PO,Provide working environment,Armed forces barracks,1
l4ORP_l5PO,Provide working environment,Armed forces headquarters,1
l4ORP_l5PO,Provide working environment,Armed forces training grounds,1
l4ORP_l5PO,Provide working environment,Assisted living,1
l4ORP_l5PO,Provide working environment,Attractions,1
l4ORP_l5PO,Provide working environment,Auction houses,1
l4ORP_l5PO,Provide working environment,Automotive retail,1
l4ORP_l5PO,Provide working environment,Bank headquarters,1
l4ORP_l5PO,Provide working environment,Banks,1
l4ORP_l5PO,Provide working environment,Bars and nightclubs,1
l4ORP_l5PO,Provide working environment,Beauty services,1
l4ORP_l5PO,Provide working environment,Blood banks,1
l4ORP_l5PO,Provide working environment,Botanical gardens,1
l4ORP_l5PO,Provide working environment,Broadband provider offices,1
l4ORP_l5PO,Provide working environment,Broadcasting,1
l4ORP_l5PO,Provide working environment,Bus stations,1
l4ORP_l5PO,Provide working environment,Buses and trams,1
l4ORP_l5PO,Provide working environment,Business services,1
l4ORP_l5PO,Provide working environment,Cafes,1
l4ORP_l5PO,Provide working environment,Career and employment support services,1
l4ORP_l5PO,Provide working environment,Casinos and gaming,1
l4ORP_l5PO,Provide working environment,Castles and fortifications,1
l4ORP_l5PO,Provide working environment,Cemeteries,1
l4ORP_l5PO,Provide working environment,Charity organisations,1
l4ORP_l5PO,Provide working environment,Charity shops,1
l4ORP_l5PO,Provide working environment,Children's clubs,1
l4ORP_l5PO,Provide working environment,Cinemas,1
l4ORP_l5PO,Provide working environment,Citizens Advice Bureaus,1
l4ORP_l5PO,Provide working environment,Community centres,1
l4ORP_l5PO,Provide working environment,Computer and electronics shops,1
l4ORP_l5PO,Provide working environment,Conference and exhibition centres (animal racing),1
l4ORP_l5PO,Provide working environment,Conference and exhibition centres (general),1
l4ORP_l5PO,Provide working environment,Construction and engineering,1
l4ORP_l5PO,Provide working environment,Consumer finance,1
l4ORP_l5PO,Provide working environment,Council offices,1
l4ORP_l5PO,Provide working environment,Couriers,1
l4ORP_l5PO,Provide working environment,Courthouses,1
l4ORP_l5PO,Provide working environment,Coworking office spaces,1
l4ORP_l5PO,Provide working environment,Creative spaces,1
l4ORP_l5PO,Provide working environment,Day centres,1
l4ORP_l5PO,Provide working environment,Death-care services,1
l4ORP_l5PO,Provide working environment,Dental and orthodontal practices,1
l4ORP_l5PO,Provide working environment,Dining and catering services,1
l4ORP_l5PO,Provide working environment,Diplomatic buildings,1
l4ORP_l5PO,Provide working environment,Distribution centres,1
l4ORP_l5PO,Provide working environment,Driving schools,1
l4ORP_l5PO,Provide working environment,Eateries,1
l4ORP_l5PO,Provide working environment,Electricity provider offices,1
l4ORP_l5PO,Provide working environment,Emergency vehicles,1
l4ORP_l5PO,Provide working environment,Environmental consulting and quantity surveying firms,1
l4ORP_l5PO,Provide working environment,Environmental regulators,1
l4ORP_l5PO,Provide working environment,Events management,1
